epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.39084,2.02383,0.4625,0.95,1.47689,0.000272113,0.000272113,0.000272113
2,11.7469,1.5305,0.5375,0.9625,1.24609,0.000531637,0.000531637,0.000531637
3,15.15,1.34027,0.475,0.9375,1.43229,0.000772835,0.000772835,0.000772835
4,18.1402,1.23879,0.55,0.95,1.19938,0.000750533,0.000750533,0.000750533
5,21.0794,1.1545,0.5375,0.9625,1.38118,0.000723044,0.000723044,0.000723044
6,23.9482,1.0565,0.525,0.9,1.45931,0.000695555,0.000695555,0.000695555
7,26.6807,1.0559,0.5375,0.8875,1.56673,0.000668066,0.000668066,0.000668066
8,29.5301,0.89002,0.6,0.9375,1.56315,0.000640577,0.000640577,0.000640577
9,32.3303,0.86088,0.575,0.95,1.62142,0.000613088,0.000613088,0.000613088
10,35.1402,0.77612,0.5875,0.9,1.43652,0.000585599,0.000585599,0.000585599
11,37.9979,0.72063,0.6,0.95,1.19792,0.00055811,0.00055811,0.00055811
12,40.7994,0.73745,0.6,0.9125,1.46777,0.000530621,0.000530621,0.000530621
13,43.6961,0.66025,0.575,0.925,1.56543,0.000503132,0.000503132,0.000503132
14,46.6992,0.59167,0.6125,0.9625,1.27474,0.000475643,0.000475643,0.000475643
15,49.2446,0.53048,0.6,0.95,1.31413,0.000448154,0.000448154,0.000448154
16,51.7681,0.51876,0.5875,0.95,1.33008,0.000420665,0.000420665,0.000420665
17,54.3636,0.47895,0.5,0.925,1.39128,0.000393176,0.000393176,0.000393176
18,57.0433,0.38309,0.6,0.9375,1.41829,0.000365687,0.000365687,0.000365687
19,59.7965,0.38793,0.6125,0.9375,1.4554,0.000338198,0.000338198,0.000338198
20,62.4793,0.42779,0.6375,0.9375,1.18766,0.000310709,0.000310709,0.000310709
21,86.6022,0.35466,0.5625,0.9375,1.39909,0.00028322,0.00028322,0.00028322
22,89.4117,0.33927,0.6,0.9625,1.4248,0.000255731,0.000255731,0.000255731
23,91.9621,0.32357,0.6125,0.925,1.37012,0.000228242,0.000228242,0.000228242
24,94.5827,0.32622,0.6625,0.9375,1.1735,0.000200753,0.000200753,0.000200753
25,97.217,0.27484,0.6,0.9375,1.33496,0.000173264,0.000173264,0.000173264
26,99.8189,0.2749,0.5875,0.9375,1.56445,0.000145775,0.000145775,0.000145775
27,102.395,0.20184,0.55,0.9625,1.41048,0.000118286,0.000118286,0.000118286
28,104.914,0.20617,0.6,0.9375,1.1958,9.0797e-05,9.0797e-05,9.0797e-05
29,107.387,0.20897,0.6,0.9375,1.271,6.3308e-05,6.3308e-05,6.3308e-05
30,109.934,0.19704,0.6,0.9375,1.24382,3.5819e-05,3.5819e-05,3.5819e-05
