,0,1,2,3,4
0,5.1,3.5,1.4,0.2,0.0
1,4.9,3.0,1.4,0.2,0.0
2,4.7,3.2,1.3,0.2,0.0
3,4.6,3.1,1.5,0.2,0.0
4,5.0,3.6,1.4,0.2,0.0
5,5.4,3.9,1.7,0.4,0.0
6,4.6,3.4,1.4,0.3,0.0
7,5.0,3.4,1.5,0.2,0.0
8,4.4,2.9,1.4,0.2,0.0
9,4.9,3.1,1.5,0.1,0.0
10,5.4,3.7,1.5,0.2,0.0
11,4.8,3.4,1.6,0.2,0.0
12,4.8,3.0,1.4,0.1,0.0
13,4.3,3.0,1.1,0.1,0.0
14,5.8,4.0,1.2,0.2,0.0
15,5.7,4.4,1.5,0.4,0.0
16,5.4,3.9,1.3,0.4,0.0
17,5.1,3.5,1.4,0.3,0.0
18,5.7,3.8,1.7,0.3,0.0
19,5.1,3.8,1.5,0.3,0.0
20,5.4,3.4,1.7,0.2,0.0
21,5.1,3.7,1.5,0.4,0.0
22,4.6,3.6,1.0,0.2,0.0
23,5.1,3.3,1.7,0.5,0.0
24,4.8,3.4,1.9,0.2,0.0
25,5.0,3.0,1.6,0.2,0.0
26,5.0,3.4,1.6,0.4,0.0
27,5.2,3.5,1.5,0.2,0.0
28,5.2,3.4,1.4,0.2,0.0
29,4.7,3.2,1.6,0.2,0.0
